Data_file_name,Column_name,Shapefile,Unit_count,Subject_population,Year,Measure,Variable1,Variable1_category,Field_name_alias
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_50,VAR_2_50,Individual,Census usually resident population count,2018,Count,Usual residence 5 years ago indicator,Same as usual residence,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 5 years ago indicator (Same as usual residence)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_51,VAR_2_51,Individual,Census usually resident population count,2018,Count,Usual residence 5 years ago indicator,Elsewhere in New Zealand,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 5 years ago indicator (Elsewhere in New Zealand)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_52,VAR_2_52,Individual,Census usually resident population count,2018,Count,Usual residence 5 years ago indicator,Not born five years ago,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 5 years ago indicator (Not born five years ago)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_53,VAR_2_53,Individual,Census usually resident population count,2018,Count,Usual residence 5 years ago indicator,Overseas,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 5 years ago indicator (Overseas)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_54,VAR_2_54,Individual,Census usually resident population count,2018,Count,Usual residence 5 years ago indicator,No fixed abode five years ago,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 5 years ago indicator (No fixed abode five years ago)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_55,VAR_2_55,Individual,Census usually resident population count,2018,Count,Usual residence 5 years ago indicator,Response unidentifiable,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 5 years ago indicator (Response unidentifiable)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_56,VAR_2_56,Individual,Census usually resident population count,2018,Count,Usual residence 5 years ago indicator,Unable to match to admin data,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 5 years ago indicator (Unable to match to admin data)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_57,VAR_2_57,Individual,Census usually resident population count,2018,Count,Usual residence 5 years ago indicator,New Zealand not further defined,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 5 years ago indicator (New Zealand not further defined)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_58,VAR_2_58,Individual,Census usually resident population count,2018,Count,Usual residence 5 years ago indicator,Not stated,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 5 years ago indicator (Not stated)"
2023 Census totals by topic for individuals by statistical area 1 (SA1) - part 2,VAR_2_59,VAR_2_59,Individual,Census usually resident population count,2018,Count,Usual residence 5 years ago indicator,Total,"Subject pop: Census usually resident population count, Year: 2018, Measure: Count, Var1: Usual residence 5 years ago indicator (Total)"
