Data_file_name,Column_name,Shapefile_name,Unit_count,Subject_population,Year,Measure,Variable1,Variable1_category,Field_name_alias
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_38,VAR_4_38,Household,Households in occupied private dwellings,2018,Count,Household crowding index,Crowded,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Household crowding index (Crowded)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_39,VAR_4_39,Household,Households in occupied private dwellings,2018,Count,Household crowding index,Two or more bedrooms needed (severely crowded),"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Household crowding index (Two or more bedrooms needed (severely crowded))"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_40,VAR_4_40,Household,Households in occupied private dwellings,2018,Count,Household crowding index,One bedroom needed (crowded),"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Household crowding index (One bedroom needed (crowded))"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_41,VAR_4_41,Household,Households in occupied private dwellings,2018,Count,Household crowding index,Not crowded,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Household crowding index (Not crowded)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_42,VAR_4_42,Household,Households in occupied private dwellings,2018,Count,Household crowding index,No bedrooms needed and none spare,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Household crowding index (No bedrooms needed and none spare)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_43,VAR_4_43,Household,Households in occupied private dwellings,2018,Count,Household crowding index,One bedroom spare,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Household crowding index (One bedroom spare)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_44,VAR_4_44,Household,Households in occupied private dwellings,2018,Count,Household crowding index,Two or more bedrooms spare,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Household crowding index (Two or more bedrooms spare)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_45,VAR_4_45,Household,Households in occupied private dwellings,2018,Count,Household crowding index,Not stated,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Household crowding index (Not stated)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_46,VAR_4_46,Household,Households in occupied private dwellings,2018,Count,Household crowding index,Total,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Household crowding index (Total)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_47,VAR_4_47,Household,Households in occupied private dwellings,2018,Count,Household crowding index,Total stated,"Subject pop: Households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Household crowding index (Total stated)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_48,VAR_4_48,Household,Households in occupied private dwellings,2023,Count,Household crowding index,Crowded,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Household crowding index (Crowded)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_49,VAR_4_49,Household,Households in occupied private dwellings,2023,Count,Household crowding index,Two or more bedrooms needed (severely crowded),"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Household crowding index (Two or more bedrooms needed (severely crowded))"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_50,VAR_4_50,Household,Households in occupied private dwellings,2023,Count,Household crowding index,One bedroom needed (crowded),"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Household crowding index (One bedroom needed (crowded))"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_51,VAR_4_51,Household,Households in occupied private dwellings,2023,Count,Household crowding index,Not crowded,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Household crowding index (Not crowded)"
2023 Census totals by topic for households by statistical area 2 (SA2),VAR_4_52,VAR_4_52,Household,Households in occupied private dwellings,2023,Count,Household crowding index,No bedrooms needed and none spare,"Subject pop: Households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Household crowding index (No bedrooms needed and none spare)"
